tissue,age,protein_id,abundance
Brain,3,P0001,8.871378962259605
Brain,3,P0002,3.959071532379663
Brain,3,P0003,11.591484311970925
Brain,3,P0004,12.992065563194386
Brain,3,P0005,2.2918947720089644
Brain,3,P0006,3.3827611892116933
Brain,3,P0007,7.97813154567656
Brain,3,P0008,6.112002400363978
Brain,3,P0009,7.314943462768843
Brain,3,P0010,4.428999196202081
Brain,3,P0011,12.523899576126736
Brain,3,P0012,11.783204395890577
Brain,3,P0013,7.68767516478956
Brain,3,P0014,14.531878074442819
Brain,3,P0015,9.781624801311347
Brain,3,P0016,4.41242542942708
Brain,3,P0017,9.21885156269304
Brain,3,P0018,4.156487802825153
Brain,3,P0019,12.516780459233749
Brain,3,P0020,7.170995256441077
Brain,3,P0021,6.613298736988844
Brain,3,P0022,4.910826577484005
Brain,3,P0023,15.387027790934745
Brain,3,P0024,6.734760917780823
Brain,3,P0025,5.714480012694715
Brain,3,P0026,5.981790092307754
Brain,3,P0027,10.169423390278242
Brain,3,P0028,9.20057920021522
Brain,3,P0029,9.465367081552634
Brain,3,P0030,9.568654517564617
Brain,3,P0031,26.708678779803286
Brain,3,P0032,5.790108265815458
Brain,3,P0033,5.433885080553764
Brain,3,P0034,4.53459767030844
Brain,3,P0035,10.692982161639808
Brain,3,P0036,14.546979471887562
Brain,3,P0037,6.9007598270796
Brain,3,P0038,4.463379050542396
Brain,3,P0039,4.50555585905003
Brain,3,P0040,10.917376265219675
Brain,3,P0041,11.541537710991266
Brain,3,P0042,10.23581209625425
Brain,3,P0043,4.956471892442124
Brain,3,P0044,8.493462872978014
Brain,3,P0045,7.924914138804784
Brain,3,P0046,8.425081569551296
Brain,3,P0047,12.464159261528948
Brain,3,P0048,8.449923003069694
Brain,3,P0049,11.104474529348966
Brain,3,P0050,7.694820511620524
Brain,3,P0051,8.78874248283379
Brain,3,P0052,10.791652682311014
Brain,3,P0053,3.0823938159621305
Brain,3,P0054,6.099441869473896
Brain,3,P0055,5.572124543987553
Brain,3,P0056,5.036308086078327
Brain,3,P0057,6.264599434444512
Brain,3,P0058,18.119066592641495
Brain,3,P0059,4.395148551079645
Brain,3,P0060,13.209906132988346
Brain,3,P0061,2.6919831084207075
Brain,3,P0062,6.044017754868643
Brain,3,P0063,8.147016927320546
