protein_id,is_chaperone,is_UPS,is_autophagy,is_aggregation_prone
P0001,False,False,False,False
P0002,False,False,False,False
P0003,False,False,False,False
P0004,False,False,False,False
P0005,False,False,False,True
P0006,False,False,False,False
P0007,False,False,False,False
P0008,False,False,False,False
P0009,False,False,False,True
P0010,False,False,False,False
P0011,False,False,False,False
P0012,False,False,False,False
P0013,False,False,False,False
P0014,False,False,False,False
P0015,False,False,False,False
P0016,False,False,False,False
P0017,False,False,False,False
P0018,False,False,False,True
P0019,False,True,False,False
P0020,False,False,False,False
P0021,False,False,False,False
P0022,False,False,False,False
P0023,False,False,True,False
P0024,False,False,False,False
P0025,False,False,False,False
P0026,False,False,False,False
P0027,False,False,False,False
P0028,False,False,False,False
P0029,False,False,False,False
P0030,False,False,False,False
P0031,False,False,True,False
P0032,False,False,False,True
P0033,False,False,False,False
P0034,False,False,False,False
P0035,False,False,False,False
P0036,False,False,False,False
P0037,False,False,False,False
P0038,False,False,True,True
P0039,False,False,False,False
P0040,False,False,False,False
P0041,False,False,False,False
P0042,False,False,False,False
P0043,False,False,False,False
P0044,False,False,False,False
P0045,False,True,False,False
P0046,False,False,False,False
P0047,False,False,False,False
P0048,False,False,False,False
P0049,False,False,False,False
P0050,False,False,False,False
P0051,False,False,False,False
P0052,True,False,True,True
P0053,False,False,False,False
P0054,False,False,False,False
P0055,False,False,False,False
P0056,False,False,False,False
P0057,False,False,False,False
P0058,False,False,False,False
P0059,False,False,False,False
P0060,False,False,False,False
P0061,False,False,False,False
P0062,False,False,False,False
P0063,False,False,False,False
P0064,False,False,False,False
P0065,False,False,False,False
P0066,False,False,False,False
P0067,False,False,False,False
P0068,False,False,False,False
P0069,True,True,False,False
P0070,False,False,False,False
P0071,False,False,False,True
P0072,False,False,False,False
P0073,False,False,False,False
P0074,False,False,False,False
P0075,False,False,False,False
P0076,False,False,False,False
P0077,False,False,False,False
P0078,False,False,False,False
P0079,False,False,False,False
P0080,False,False,False,False
P0081,False,False,False,False
P0082,False,False,False,False
P0083,False,False,False,False
P0084,False,False,False,False
P0085,True,False,False,False
P0086,False,False,False,False
P0087,False,False,False,False
P0088,False,False,False,False
P0089,False,False,False,False
P0090,False,False,False,False
P0091,False,False,False,False
P0092,False,False,False,False
P0093,False,False,False,False
P0094,False,False,False,False
P0095,False,False,False,False
P0096,False,False,False,True
P0097,False,False,False,True
P0098,False,False,False,False
P0099,False,False,False,False
P0100,False,False,False,False
P0101,False,True,False,False
P0102,False,False,False,False
P0103,False,False,False,False
P0104,False,False,False,False
P0105,False,False,False,False
P0106,False,False,False,False
P0107,False,False,False,False
P0108,False,False,False,False
P0109,False,False,False,False
P0110,False,False,False,False
P0111,False,False,False,False
P0112,False,False,False,False
P0113,False,False,False,False
P0114,False,False,False,False
P0115,False,False,True,False
P0116,False,False,False,False
P0117,False,False,False,False
P0118,False,False,False,False
P0119,False,False,False,False
P0120,False,False,False,False
P0121,False,False,False,False
P0122,False,False,False,False
P0123,False,False,False,False
P0124,False,False,False,False
P0125,False,False,False,False
P0126,False,False,False,False
P0127,False,False,False,False
P0128,False,False,False,False
P0129,False,False,False,False
P0130,False,False,True,False
P0131,False,False,False,False
P0132,False,False,False,False
P0133,False,False,False,True
P0134,False,False,False,True
P0135,False,False,False,False
P0136,True,False,False,False
P0137,False,False,False,False
P0138,False,False,False,True
P0139,False,True,False,False
P0140,False,False,False,False
P0141,False,False,False,False
P0142,False,False,False,False
P0143,False,False,False,False
P0144,False,False,False,True
P0145,False,False,False,False
P0146,False,False,False,False
P0147,False,False,False,False
P0148,False,False,False,False
P0149,False,False,False,False
P0150,True,False,False,False
P0151,False,False,False,True
P0152,False,False,False,False
P0153,False,False,False,False
P0154,False,False,False,False
P0155,False,False,False,False
P0156,False,False,False,False
P0157,False,True,False,True
P0158,False,True,False,True
P0159,False,False,False,False
P0160,False,False,False,False
P0161,False,True,False,False
P0162,False,False,False,False
P0163,False,False,False,False
P0164,True,False,False,False
P0165,False,False,False,False
P0166,False,False,False,False
P0167,False,False,False,True
P0168,False,False,False,False
P0169,False,False,False,True
P0170,False,False,False,False
P0171,False,False,False,False
P0172,False,False,False,False
P0173,False,False,False,False
P0174,False,False,False,False
P0175,False,False,False,False
P0176,False,False,False,True
P0177,False,False,False,False
P0178,False,False,False,False
P0179,False,False,False,True
P0180,False,False,False,False
P0181,False,False,False,False
P0182,False,False,False,False
P0183,False,False,False,False
P0184,False,False,False,False
P0185,False,False,False,True
P0186,False,False,False,True
P0187,False,False,False,False
P0188,False,False,False,False
P0189,False,False,False,False
P0190,False,False,False,False
P0191,False,False,False,False
